Ticker,final_score,score_basis,rating,category,price,weighted_rating,fund_rating_score,rating_cycles,rating_date,technical_score,vs50MA%,vs200MA%,RSI,VolSurge,1D%,1W%,1M%,AnnVol%,MaxDD%,AvgDollarVol,BarsFetched,RelStrength_AvgBench,RelStrength_vs_SPY,RelStrength_vs_DJI,RelStrength_vs_SPX,RelStrength_vs_IXIC,Flags,RelStrength_vs_AGG,RelStrength_vs_BND,RelStrength_vs_EFA,RelStrength_vs_VXUS,RelStrength_vs_EEM,RelStrength_vs_VNQ,RelStrength_vs_DBC,RelStrength_vs_GLD
ACWI,54.4,blended,Neutral,equity_intl,158.77,4.0,80.0,"3yr, 5yr, 10yr",2026-08-31,48,-0.3,-1.1,48.6,0.72,-0.4,-1.0,-0.9,14.0,-16.9,243377330.0,5078,0.8,,,,,"Downtrend, MACD+, BeatingAvgBench, BeatingAllBench",,,0.8,0.8,,,,
BBLU,54.4,blended,Neutral,equity_us,17.23,5.0,100.0,"3yr, 5yr, 10yr",2026-08-31,43,-0.4,-0.8,43.8,0.89,-0.5,-0.8,-0.4,13.3,-17.8,1312261.0,5075,-0.0,-0.1,1.2,-0.3,-0.9,Downtrend,,,,,,,,
GRID,54.4,blended,Neutral,equity_us,176.9,5.0,100.0,"3yr, 5yr, 10yr",2026-08-31,43,0.2,-2.1,57.8,0.68,-0.1,-2.1,-2.3,20.3,-21.1,95530078.0,5078,-1.3,-1.3,-0.1,-1.6,-2.2,MACD+,,,,,,,,
FYLD,54.4,blended,Neutral,equity_intl,40.35,4.0,80.0,"3yr, 5yr, 10yr",2026-08-31,48,-1.6,-0.6,29.8,1.62,-1.9,-1.7,-0.1,15.2,-16.9,2745504.0,5062,0.0,,,,,"Oversold(RSI), VolumeSurge, BeatingAvgBench",,,0.0,-0.0,,,,
DFCF,54.4,blended,Neutral,bond,40.92,5.0,100.0,3yr,2026-08-31,43,-0.2,-1.2,42.4,0.76,-0.2,-0.0,-1.5,5.0,-6.5,57475976.0,5078,-0.0,,,,,Downtrend,-0.0,-0.0,,,,,,
IDVO,54.4,blended,Neutral,equity_intl,42.3,5.0,100.0,3yr,2026-08-31,43,-0.8,-1.5,45.2,0.87,-0.9,-1.5,-1.0,16.0,-16.4,10513563.0,4975,0.3,,,,,"Downtrend, BeatingAvgBench, BeatingAllBench",,,0.3,0.3,,,,
GDE,54.4,blended,Neutral,commodity,66.27,5.0,100.0,3yr,2025-09-30,43,0.4,-2.4,51.5,0.55,-0.3,-0.3,-3.9,29.3,-22.7,6141115.0,4447,-0.4,,,,,MACD+,,,,,,,-0.2,-0.6
JCPB,54.4,blended,Neutral,bond,45.47,4.0,80.0,"3yr, 5yr",2026-08-31,48,-0.2,-1.2,43.6,1.27,-0.2,-0.0,-1.6,4.8,-6.5,88930152.0,5080,-0.0,,,,,Downtrend,-0.0,-0.0,,,,,,
MGK,54.4,blended,Neutral,equity_us,90.46,4.4,88.0,"3yr, 5yr, 10yr",2026-08-31,46,0.9,0.8,59.9,0.67,0.1,0.4,1.9,19.4,-24.2,87662723.0,5078,1.2,1.2,2.4,1.0,0.3,"MACD+, BeatingAvgBench, BeatingAllBench",,,,,,,,
NDIA,54.4,blended,Neutral,equity_intl,26.27,4.0,80.0,3yr,2026-08-31,48,-3.5,-3.5,32.2,4.3,-0.1,-4.7,-2.5,26.3,-25.6,224233.0,2286,-3.0,,,,,"VolumeSurge, LowLiquidity",,,-3.0,-3.0,,,,
DRSK,54.4,blended,Neutral,bond,27.77,5.0,100.0,"3yr, 5yr",2026-08-31,43,-0.2,-2.0,44.8,0.57,-0.2,-0.1,-2.5,8.3,-9.1,4358904.0,5062,-0.1,,,,,"Downtrend, MACD+",-0.1,-0.1,,,,,,
SPHB,54.4,blended,Neutral,equity_us,146.2,5.0,100.0,"3yr, 5yr, 10yr",2026-08-31,43,0.7,-0.7,62.0,0.9,0.4,-1.3,-0.0,25.5,-29.9,34859118.0,5078,-0.5,-0.6,0.7,-0.8,-1.4,MACD+,,,,,,,,
GSUS,54.4,blended,Neutral,commodity,105.26,4.0,80.0,"3yr, 5yr",2026-08-31,48,0.0,-0.7,51.2,0.61,-0.2,-0.5,-0.5,14.5,-19.8,9229213.0,5047,-0.6,,,,,MACD+,,,,,,,-0.4,-0.8
WTV,54.4,blended,Neutral,equity_us,106.09,5.0,100.0,"3yr, 5yr, 10yr",2026-08-31,43,-1.1,-1.7,34.1,1.12,-0.9,-1.4,-1.7,14.8,-19.9,16973673.0,4996,-0.6,-0.6,0.6,-0.9,-1.5,Downtrend,,,,,,,,
FLTW,54.4,blended,Neutral,equity_intl,106.78,5.0,100.0,"3yr, 5yr",2026-08-31,43,1.6,3.3,63.5,0.27,0.3,0.3,7.3,26.9,-29.7,30194243.0,4671,2.1,,,,,"Uptrend, MACD+, BeatingAvgBench, BeatingAllBench",,,2.1,2.1,,,,
UBND,54.4,blended,Neutral,bond,21.02,4.0,80.0,3yr,2026-08-31,48,-0.2,-1.3,46.7,0.69,-0.2,-0.1,-1.7,5.0,-6.4,5769282.0,4584,-0.1,,,,,"Downtrend, MACD+",-0.1,-0.1,,,,,,
BFIX,54.4,blended,Neutral,bond,24.77,5.0,100.0,3yr,2026-08-31,43,,,25.4,7.26,0.0,-1.0,-1.9,14.1,-7.0,263010.0,1412,-1.0,,,,,"Oversold(RSI), VolumeSurge, LowLiquidity, ShortHistory",-1.0,-1.0,,,,,,
JEPQ,54.4,blended,Neutral,equity_us,59.94,4.0,80.0,3yr,2026-08-31,48,0.7,0.3,63.5,0.75,0.1,0.2,0.5,15.2,-21.8,305830791.0,5078,1.0,1.0,2.2,0.7,0.1,"MACD+, BeatingAvgBench, BeatingAllBench",,,,,,,,
SPYG,54.4,blended,Neutral,equity_us,120.86,4.0,80.0,"3yr, 5yr, 10yr",2026-08-31,48,0.6,-0.1,61.6,0.94,0.2,0.0,0.8,18.8,-23.2,198399329.0,5078,0.8,0.8,2.0,0.6,-0.1,"MACD+, BeatingAvgBench",,,,,,,,
FSMD,54.4,blended,Neutral,equity_us,49.66,4.6,92.0,"3yr, 5yr",2026-08-31,45,-1.5,-3.6,35.6,1.74,-1.3,-2.2,-4.2,17.7,-23.6,6287546.0,5067,-1.4,-1.4,-0.2,-1.6,-2.3,"Downtrend, VolumeSurge",,,,,,,,
